z_real,z_img,applied_voltage,sbh_weight_percent,catalyst_loading
0.24154,0.05847,0.3,8,4.4
0.25033,0.06261,0.3,8,4.4
0.26254,0.06518,0.3,8,4.4
0.27799,0.06233,0.3,8,4.4
0.28978,0.06306,0.3,8,4.4
0.30073,0.06373,0.3,8,4.4
0.31025,0.06026,0.3,8,4.4
0.32499,0.05934,0.3,8,4.4
0.33515,0.05801,0.3,8,4.4
0.34079,0.05368,0.3,8,4.4
0.352,0.05116,0.3,8,4.4
0.35979,0.04328,0.3,8,4.4
0.36032,0.04138,0.3,8,4.4
0.37213,0.03792,0.3,8,4.4
0.37361,0.02662,0.3,8,4.4
0.37873,0.02269,0.3,8,4.4
0.37775,0.02498,0.3,8,4.4
0.38699,0.00828,0.3,8,4.4
0.3839,0.01696,0.3,8,4.4
0.39176,0.00802,0.3,8,4.4
0.38868,0.00985,0.3,8,4.4
0.3881,0.01132,0.3,8,4.4
0.38285,5.76E-04,0.3,8,4.4
0.37955,0.00813,0.3,8,4.4
0.14661,0.00364,0.5,8,4.4
0.14371,0.00401,0.5,8,4.4
0.14701,0.00382,0.5,8,4.4
0.14356,0.00444,0.5,8,4.4
0.14618,0.00373,0.5,8,4.4
0.13566,0.00484,0.5,8,4.4
0.13419,0.00446,0.5,8,4.4
0.13548,0.00471,0.5,8,4.4
0.13609,0.00557,0.5,8,4.4
0.1332,0.00457,0.5,8,4.4
0.13243,0.00451,0.5,8,4.4
0.14107,-0.00817,0.5,8,4.4
0.14774,-0.00756,0.5,8,4.4
0.15174,-0.00359,0.5,8,4.4
0.15296,-0.00158,0.5,8,4.4
0.15444,0.00165,0.5,8,4.4
0.15518,0.00424,0.5,8,4.4
0.15604,0.00648,0.5,8,4.4
0.15733,0.00842,0.5,8,4.4
0.15836,0.01056,0.5,8,4.4
0.1602,0.01191,0.5,8,4.4
0.16202,0.01344,0.5,8,4.4
0.16383,0.01542,0.5,8,4.4
0.16607,0.01712,0.5,8,4.4
0.16854,0.01886,0.5,8,4.4
0.17132,0.0211,0.5,8,4.4
0.17414,0.02301,0.5,8,4.4
0.17741,0.02547,0.5,8,4.4
0.1818,0.02787,0.5,8,4.4
0.18587,0.03028,0.5,8,4.4
0.19009,0.03278,0.5,8,4.4
0.19501,0.03514,0.5,8,4.4
0.20059,0.03719,0.5,8,4.4
0.20772,0.0397,0.5,8,4.4
0.21312,0.04214,0.5,8,4.4
0.21988,0.04375,0.5,8,4.4
0.22655,0.0459,0.5,8,4.4
0.23369,0.04701,0.5,8,4.4
0.24141,0.04849,0.5,8,4.4
0.24898,0.05268,0.5,8,4.4
0.25628,0.05493,0.5,8,4.4
0.2658,0.05785,0.5,8,4.4
0.275,0.06106,0.5,8,4.4
0.28384,0.06514,0.5,8,4.4
0.29996,0.06802,0.5,8,4.4
0.31133,0.07449,0.5,8,4.4
0.32589,0.07769,0.5,8,4.4
0.34213,0.08322,0.5,8,4.4
0.36123,0.09192,0.5,8,4.4
0.37805,0.09214,0.5,8,4.4
0.39855,0.09614,0.5,8,4.4
0.4153,0.09287,0.5,8,4.4
0.43419,0.09059,0.5,8,4.4
0.45312,0.08474,0.5,8,4.4
0.46377,0.0786,0.5,8,4.4
0.47807,0.07093,0.5,8,4.4
0.48444,0.06094,0.5,8,4.4
